,SAPClient,CompanyCode,CompanyCodeName,PostingDate,DocumentType,DocumentTypeName,SourceTable,DELETE_DF_DI,UPDATE_DF_TS,Amount,CreditAmount,ProcessingTime
85,100,1028,West Virginia-American Wa,20210802,MR,Mellon ARC,DFKKZK,,20210803151456,173087.82,0.00,2021-08-04 04:05:47.512
86,100,1026,Tennessee-American Water,20210803,DL,DELUXE Lockbox paper,DFKKZK,,20210803165910,50044.73,0.00,2021-08-04 04:05:47.512
87,100,1012,Kentucky-American Water C,20210803,DL,DELUXE Lockbox paper,DFKKZK,,20210803162908,28426.32,0.00,2021-08-04 04:05:47.512
88,100,1028,West Virginia-American Wa,20210803,MP,Manual Payment,DFKKZK,,20210803170433,1121.73,1121.73,2021-08-04 04:05:47.512
89,100,1010,Indiana-American Water Co,20210803,DL,DELUXE Lockbox paper,DFKKZK,,20210803162908,66810.07,0.00,2021-08-04 04:05:47.512
90,100,1025,Illinois-American Water C,20210803,DL,DELUXE Lockbox paper,DFKKZK,,20210803162959,44058.97,0.00,2021-08-04 04:05:47.512
91,100,1018,New Jersey-American Water,20210803,ML,Mellon Lock Box,DFKKZK,,20210803164235,1759964.40,0.00,2021-08-04 04:05:47.512
92,100,1011,Iowa-American Water Compa,20210803,DL,DELUXE Lockbox paper,DFKKZK,,20210803162908,3533.28,0.00,2021-08-04 04:05:47.512
93,100,1028,West Virginia-American Wa,20210803,DL,DELUXE Lockbox paper,DFKKZK,,20210803163015,2174.74,0.00,2021-08-04 04:05:47.512
94,100,1017,Missouri-American Water C,20210803,DL,DELUXE Lockbox paper,DFKKZK,,20210803162943,447054.51,0.00,2021-08-04 04:05:47.512
95,100,1024,Pennsylvania-American Wat,20210803,ML,Mellon Lock Box,DFKKZK,,20210803161307,903913.76,0.00,2021-08-04 04:05:47.512
96,100,1011,Iowa-American Water Compa,20210803,ML,Mellon Lock Box,DFKKZK,,20210803170936,2211.26,0.00,2021-08-04 04:05:47.512
97,100,1024,Pennsylvania-American Wat,20210802,ML,Mellon Lock Box,DFKKZK,,20210803171128,1925459.20,0.00,2021-08-04 04:05:47.512
98,100,1028,West Virginia-American Wa,20210803,PE,Paymentus Echeck,DFKKZK,,20210803175547,81853.68,0.00,2021-08-04 04:05:47.512
99,100,1013,Maryland-American Water C,20210803,MR,Mellon ARC,DFKKZK,,20210803180319,3235.24,0.00,2021-08-04 04:05:47.512
100,100,1011,Iowa-American Water Compa,20210803,MP,Manual Payment,DFKKZK,,20210803172322,55.65,55.65,2021-08-04 04:05:47.512
101,100,1027,Virginia-American Water C,20210803,ML,Mellon Lock Box,DFKKZK,,20210803180334,33030.15,0.00,2021-08-04 04:05:47.512
102,100,1010,Indiana-American Water Co,20210803,PE,Paymentus Echeck,DFKKZK,,20210803172805,116188.58,0.00,2021-08-04 04:05:47.512
103,100,1030,Hawaii-American Water Co.,20210803,PE,Paymentus Echeck,DFKKZK,,20210803175547,2773.33,0.00,2021-08-04 04:05:47.512
104,100,1025,Illinois-American Water C,20210803,PE,Paymentus Echeck,DFKKZK,,20210803175154,135521.18,0.00,2021-08-04 04:05:47.512
105,100,1017,Missouri-American Water C,20210803,PG,Paymentus EC No Fee,DFKKZK,,20210803173539,138661.95,0.00,2021-08-04 04:05:47.512
106,100,1028,West Virginia-American Wa,20210803,ML,Mellon Lock Box,DFKKZK,,20210803180435,77120.85,0.00,2021-08-04 04:05:47.512
107,100,1013,Maryland-American Water C,20210803,MA,Mellon ACH,DFKKZK,,20210803180319,4212.15,0.00,2021-08-04 04:05:47.512
108,100,1028,West Virginia-American Wa,20210803,PH,Paymentus Check,DFKKZK,,20210803175333,14667.16,0.00,2021-08-04 04:05:47.512
109,100,1024,Pennsylvania-American Wat,20210803,PF,Paymentus CC No Fee,DFKKZK,,20210803174332,376459.03,0.00,2021-08-04 04:05:47.512
110,100,1028,West Virginia-American Wa,20210803,MP,Manual Payment,DFKKZK,,20210803170433,1121.73,1121.73,2021-08-04 04:05:47.512
111,100,1025,Illinois-American Water C,20210803,ML,Mellon Lock Box,DFKKZK,,20210803170936,1280.07,0.00,2021-08-04 04:05:47.512
112,100,1015,California-American Water,20210803,PF,Paymentus CC No Fee,DFKKZK,,20210803173051,131131.83,0.00,2021-08-04 04:05:47.512
113,100,1017,Missouri-American Water C,20210803,ML,Mellon Lock Box,DFKKZK,,20210803170936,7691.79,0.00,2021-08-04 04:05:47.512
114,100,1024,Pennsylvania-American Wat,20210803,PG,Paymentus EC No Fee,DFKKZK,,20210803174736,376063.17,0.00,2021-08-04 04:05:47.512
115,100,1025,Illinois-American Water C,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803175015,176231.85,0.00,2021-08-04 04:05:47.512
116,100,1013,Maryland-American Water C,20210803,PE,Paymentus Echeck,DFKKZK,,20210803173003,1497.39,0.00,2021-08-04 04:05:47.512
117,100,1011,Iowa-American Water Compa,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803172825,24698.41,0.00,2021-08-04 04:05:47.512
118,100,1017,Missouri-American Water C,20210803,PF,Paymentus CC No Fee,DFKKZK,,20210803173356,206300.33,0.00,2021-08-04 04:05:47.512
119,100,1012,Kentucky-American Water C,20210803,ML,Mellon Lock Box,DFKKZK,,20210803180319,18.17,0.00,2021-08-04 04:05:47.512
120,100,1028,West Virginia-American Wa,20210803,MR,Mellon ARC,DFKKZK,,20210803180435,75717.13,0.00,2021-08-04 04:05:47.512
121,100,1018,New Jersey-American Water,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803173702,202203.84,0.00,2021-08-04 04:05:47.512
122,100,1012,Kentucky-American Water C,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803172931,54537.71,0.00,2021-08-04 04:05:47.512
123,100,1038,New York American Water C,20210803,PE,Paymentus Echeck,DFKKZK,,20210803175653,102599.25,0.00,2021-08-04 04:05:47.512
124,100,1026,Tennessee-American Water,20210803,PE,Paymentus Echeck,DFKKZK,,20210803175300,39959.23,0.00,2021-08-04 04:05:47.512
125,100,1018,New Jersey-American Water,20210802,MA,Mellon ACH,DFKKZK,,20210803175653,1206855.97,0.00,2021-08-04 04:05:47.512
126,100,1013,Maryland-American Water C,20210803,PD,Paymentus CreditCard,DFKKZK,,20210803173003,1755.99,0.00,2021-08-04 04:05:47.512
